Date	Well	Sample	Fraction	Rate	P-value	R2
6-22-09	B6	99	PR	-0.66	6.31E-04	0.069
6-22-09	C1	3	BR	12.58	9.95E-150	0.984
6-22-09	C2	4	BR	1.63	8.45E-31	0.555
6-22-09	C3	5	BR	13.60	2.09E-147	0.983
6-22-09	C4	7	BR	17.83	1.60E-113	0.956
6-22-09	C5	8	BR	9.13	2.60E-115	0.958
6-22-09	C6	9	BR	6.92	4.18E-87	0.907
6-22-09	D1	10	BR	30.93	5.04E-207	0.997
6-22-09	D2	13	BR	8.49	2.25E-51	0.749
6-22-09	D3	14	BR	-0.73	7.27E-06	0.115
6-22-09	D4	15	BR	11.92	4.05E-121	0.964
6-22-09	D5	16	BR	15.24	3.06E-110	0.951
6-22-09	D6	99	BR	0.07	6.04E-01	0.002
6-24-09	A1	3	PR	13.13	3.32E-113	0.955
6-24-09	A2	4	PR	0.34	5.48E-03	0.046
6-24-09	A3	5	PR	14.97	4.35E-139	0.978
6-24-09	A4	7	PR	9.06	6.19E-90	0.914
6-24-09	A5	8	PR	4.15	1.38E-61	0.811
6-24-09	A6	9	PR	8.83	4.38E-80	0.887
6-24-09	B1	10	PR	13.88	1.13E-130	0.972
6-24-09	B2	13	PR	6.53	1.02E-42	0.680
6-24-09	B3	14	PR	7.39	6.01E-108	0.948
6-24-09	B4	15	PR	9.57	1.12E-114	0.957
6-24-09	B5	16	PR	-1.17	2.24E-02	0.031
6-24-09	B6	99	PR	-0.32	8.27E-02	0.018
6-24-09	C1	3	BR	10.49	2.47E-121	0.964
6-24-09	C2	4	BR	3.63	2.39E-65	0.830
6-24-09	C3	5	BR	7.52	4.10E-99	0.934
6-24-09	C4	7	BR	4.60	1.40E-71	0.857
6-24-09	C5	8	BR	1.19	3.13E-15	0.315
6-24-09	C6	9	BR	5.45	5.51E-70	0.850
6-24-09	D1	10	BR	5.83	2.31E-79	0.885
6-24-09	D2	13	BR	2.78	9.16E-40	0.653
6-24-09	D3	14	BR	5.34	4.01E-96	0.928
6-24-09	D4	15	BR	2.60	6.33E-36	0.614
6-24-09	D5	16	BR	4.55	2.36E-55	0.775
6-24-09	D6	99	BR	0.01	9.39E-01	0.000
6-26-09	A1	3	PR	0.28	2.58E-02	0.030
6-26-09	A2	4	PR	0.18	2.16E-01	0.009
6-26-09	A3	5	PR	4.37	1.03E-72	0.861
6-26-09	A4	7	PR	0.67	1.49E-07	0.154
6-26-09	A5	8	PR	9.25	6.51E-133	0.974
6-26-09	A6	9	PR	18.22	2.16E-166	0.990
6-26-09	B1	10	PR	0.79	3.18E-07	0.147
6-26-09	B2	13	PR	6.45	5.19E-101	0.937
6-26-09	B3	14	PR	3.26	7.35E-53	0.759
6-26-09	B4	15	PR	22.23	4.58E-139	0.978
6-26-09	B5	16	PR	9.96	1.02E-122	0.966
6-26-09	B6	99	PR	15.31	3.02E-106	0.946
6-26-09	C1	3	BR	0.59	3.86E-04	0.074
6-26-09	C2	4	BR	16.05	7.31E-80	0.886
6-26-09	C3	5	BR	22.74	3.28E-143	0.981
6-26-09	C4	7	BR	14.93	1.31E-142	0.980
6-26-09	C5	8	BR	10.92	1.20E-29	0.540
6-26-09	C6	9	BR	17.86	3.33E-103	0.941
