Date	Pond	Total/Dissolved	Analyte	Concentration (ppm)
7/31/09	5	Dissolved	NPOC	6.65
7/31/09	7	Dissolved	NPOC	18.95
7/31/09	8	Dissolved	NPOC	13.60
7/31/09	9	Dissolved	NPOC	11.68
7/31/09	10	Dissolved	NPOC	7.86
7/31/09	13	Dissolved	NPOC	17.61
7/31/09	14	Dissolved	NPOC	21.10
7/31/09	15	Dissolved	NPOC	17.35
7/31/09	16	Dissolved	NPOC	22.59
8/3/09	3	Dissolved	NPOC	16.00
8/3/09	4	Dissolved	NPOC	16.59
8/3/09	5	Dissolved	NPOC	8.79
8/3/09	7	Dissolved	NPOC	20.26
8/3/09	8	Dissolved	NPOC	11.44
8/3/09	9	Dissolved	NPOC	12.82
8/3/09	10	Dissolved	NPOC	8.24
8/3/09	13	Dissolved	NPOC	17.04
8/3/09	14	Dissolved	NPOC	19.34
8/3/09	15	Dissolved	NPOC	12.38
8/3/09	16	Dissolved	NPOC	15.83
8/5/09	3	Dissolved	NPOC	8.76
8/5/09	4	Dissolved	NPOC	10.67
8/5/09	5	Dissolved	NPOC	7.83
8/5/09	7	Dissolved	NPOC	15.79
8/5/09	8	Dissolved	NPOC	12.23
8/5/09	9	Dissolved	NPOC	9.08
8/5/09	10	Dissolved	NPOC	8.82
8/5/09	13	Dissolved	NPOC	17.10
8/5/09	14	Dissolved	NPOC	19.60
8/5/09	15	Dissolved	NPOC	15.67
8/5/09	16	Dissolved	NPOC	15.64
8/7/09	3	Dissolved	NPOC	15.42
8/7/09	4	Dissolved	NPOC	15.93
8/7/09	5	Dissolved	NPOC	9.21
8/7/09	7	Dissolved	NPOC	16.76
8/7/09	8	Dissolved	NPOC	11.58
8/7/09	9	Dissolved	NPOC	10.13
8/7/09	10	Dissolved	NPOC	11.80
8/7/09	13	Dissolved	NPOC	25.68
8/7/09	14	Dissolved	NPOC	26.77
8/7/09	15	Dissolved	NPOC	17.01
8/7/09	16	Dissolved	NPOC	22.37
8/10/09	3	Dissolved	NPOC	9.80
8/10/09	4	Dissolved	NPOC	14.38
8/10/09	5	Dissolved	NPOC	7.18
8/10/09	7	Dissolved	NPOC	18.47
8/10/09	8	Dissolved	NPOC	14.64
8/10/09	9	Dissolved	NPOC	10.14
8/10/09	10	Dissolved	NPOC	10.53
8/10/09	13	Dissolved	NPOC	22.42
8/10/09	14	Dissolved	NPOC	22.33
