Date	Pond	Total/Dissolved	Analyte	Concentration (ppm)
8/21/09	3	Dissolved	TN	0.44
8/21/09	4	Dissolved	TN	0.44
8/21/09	5	Dissolved	TN	0.51
8/21/09	7	Dissolved	TN	0.75
8/21/09	8	Dissolved	TN	0.43
8/21/09	9	Dissolved	TN	0.36
8/21/09	10	Dissolved	TN	0.53
8/21/09	13	Dissolved	TN	0.72
8/21/09	14	Dissolved	TN	0.86
8/21/09	15	Dissolved	TN	0.60
8/21/09	16	Dissolved	TN	0.87
8/24/09	3	Dissolved	TN	0.79
8/24/09	4	Dissolved	TN	0.87
8/24/09	5	Dissolved	TN	0.74
8/24/09	7	Dissolved	TN	0.90
8/24/09	8	Dissolved	TN	0.59
8/24/09	9	Dissolved	TN	0.52
8/24/09	10	Dissolved	TN	0.62
8/24/09	13	Dissolved	TN	0.82
8/24/09	14	Dissolved	TN	1.05
8/24/09	15	Dissolved	TN	0.88
8/24/09	16	Dissolved	TN	1.03
8/26/09	3	Dissolved	TN	0.52
8/26/09	4	Dissolved	TN	0.52
8/26/09	5	Dissolved	TN	0.54
8/26/09	7	Dissolved	TN	0.78
8/26/09	8	Dissolved	TN	0.51
8/26/09	9	Dissolved	TN	0.47
8/26/09	10	Dissolved	TN	0.61
8/26/09	13	Dissolved	TN	0.83
8/26/09	14	Dissolved	TN	0.96
8/26/09	15	Dissolved	TN	0.84
8/26/09	16	Dissolved	TN	1.07
8/28/09	3	Dissolved	TN	1.17
8/28/09	4	Dissolved	TN	1.12
8/28/09	5	Dissolved	TN	0.44
8/28/09	7	Dissolved	TN	2.06
8/28/09	8	Dissolved	TN	1.24
8/28/09	9	Dissolved	TN	1.02
8/28/09	10	Dissolved	TN	1.15
8/28/09	13	Dissolved	TN	1.90
8/28/09	14	Dissolved	TN	1.99
8/28/09	15	Dissolved	TN	1.67
8/28/09	16	Dissolved	TN	1.80
8/31/09	3	Dissolved	TN	0.83
8/31/09	4	Dissolved	TN	0.75
8/31/09	5	Dissolved	TN	0.41
8/31/09	7	Dissolved	TN	1.62
8/31/09	8	Dissolved	TN	0.77
8/31/09	9	Dissolved	TN	0.67
8/31/09	10	Dissolved	TN	0.63
8/31/09	13	Dissolved	TN	1.45
8/31/09	14	Dissolved	TN	1.58
8/31/09	15	Dissolved	TN	1.46
8/31/09	16	Dissolved	TN	1.53
9/2/09	3	Dissolved	TN	0.68
9/2/09	4	Dissolved	TN	0.56
9/2/09	5	Dissolved	TN	0.44
9/2/09	7	Dissolved	TN	1.50
9/2/09	8	Dissolved	TN	0.60
9/2/09	9	Dissolved	TN	0.51
9/2/09	10	Dissolved	TN	0.53
9/2/09	13	Dissolved	TN	1.44
9/2/09	14	Dissolved	TN	1.50
9/2/09	15	Dissolved	TN	1.35
9/2/09	16	Dissolved	TN	1.47
9/4/09	3	Dissolved	TN	0.73
9/4/09	4	Dissolved	TN	0.69
9/4/09	5	Dissolved	TN	0.63
9/4/09	7	Dissolved	TN	1.43
9/4/09	8	Dissolved	TN	0.75
9/4/09	9	Dissolved	TN	0.57
9/4/09	10	Dissolved	TN	0.59
9/4/09	13	Dissolved	TN	1.05
9/4/09	14	Dissolved	TN	1.40
9/4/09	15	Dissolved	TN	1.17
9/4/09	16	Dissolved	TN	1.27
9/7/09	3	Dissolved	TN	0.48
9/7/09	4	Dissolved	TN	0.55
9/7/09	5	Dissolved	TN	0.48
9/7/09	7	Dissolved	TN	0.86
9/7/09	8	Dissolved	TN	0.53
9/7/09	9	Dissolved	TN	0.51
9/7/09	10	Dissolved	TN	0.58
9/7/09	13	Dissolved	TN	0.99
9/7/09	14	Dissolved	TN	1.13
9/7/09	15	Dissolved	TN	0.90
9/7/09	16	Dissolved	TN	1.09
9/9/09	3	Dissolved	TN	0.49
9/9/09	4	Dissolved	TN	0.42
9/9/09	5	Dissolved	TN	0.39
9/9/09	7	Dissolved	TN	0.80
9/9/09	8	Dissolved	TN	0.57
9/9/09	9	Dissolved	TN	0.52
9/9/09	10	Dissolved	TN	0.61
9/9/09	13	Dissolved	TN	0.98
9/9/09	14	Dissolved	TN	1.07
9/9/09	15	Dissolved	TN	0.86
9/9/09	16	Dissolved	TN	1.02
9/11/09	3	Dissolved	TN	0.50
9/11/09	4	Dissolved	TN	0.56
9/11/09	5	Dissolved	TN	0.54
9/11/09	7	Dissolved	TN	0.90
9/11/09	8	Dissolved	TN	0.58
9/11/09	9	Dissolved	TN	0.51
9/11/09	10	Dissolved	TN	0.61
9/11/09	13	Dissolved	TN	1.09
9/11/09	14	Dissolved	TN	1.28
9/11/09	15	Dissolved	TN	0.92
9/11/09	16	Dissolved	TN	1.08
9/14/09	3	Dissolved	TN	0.71
9/14/09	4	Dissolved	TN	0.60
9/14/09	5	Dissolved	TN	0.62
9/14/09	7	Dissolved	TN	0.81
9/14/09	8	Dissolved	TN	0.69
9/14/09	9	Dissolved	TN	0.66
9/14/09	10	Dissolved	TN	1.01
9/14/09	13	Dissolved	TN	0.98
9/14/09	14	Dissolved	TN	1.11
9/14/09	15	Dissolved	TN	0.83
9/14/09	16	Dissolved	TN	0.94
9/16/09	3	Dissolved	TN	0.58
9/16/09	4	Dissolved	TN	0.58
9/16/09	5	Dissolved	TN	0.49
9/16/09	7	Dissolved	TN	0.58
9/16/09	8	Dissolved	TN	0.54
9/16/09	9	Dissolved	TN	0.50
9/16/09	10	Dissolved	TN	0.60
9/16/09	13	Dissolved	TN	0.86
9/16/09	14	Dissolved	TN	0.97
9/16/09	15	Dissolved	TN	0.73
9/16/09	16	Dissolved	TN	0.94
9/18/09	3	Dissolved	TN	0.68
9/18/09	4	Dissolved	TN	0.77
9/18/09	5	Dissolved	TN	0.62
9/18/09	7	Dissolved	TN	1.07
9/18/09	8	Dissolved	TN	0.76
9/18/09	9	Dissolved	TN	0.65
9/18/09	10	Dissolved	TN	0.73
9/18/09	13	Dissolved	TN	1.20
9/18/09	14	Dissolved	TN	1.40
9/18/09	15	Dissolved	TN	1.15
9/18/09	16	Dissolved	TN	1.42
9/21/09	3	Dissolved	TN	0.46
9/21/09	4	Dissolved	TN	0.50
9/21/09	5	Dissolved	TN	0.45
9/21/09	7	Dissolved	TN	0.83
9/21/09	8	Dissolved	TN	0.57
9/21/09	9	Dissolved	TN	0.51
9/21/09	10	Dissolved	TN	0.57
9/21/09	13	Dissolved	TN	1.00
9/21/09	14	Dissolved	TN	1.06
9/21/09	15	Dissolved	TN	0.73
9/21/09	16	Dissolved	TN	1.13
9/23/09	3	Dissolved	TN	0.60
9/23/09	4	Dissolved	TN	0.60
9/23/09	5	Dissolved	TN	0.58
9/23/09	7	Dissolved	TN	0.87
9/23/09	8	Dissolved	TN	1.03
9/23/09	9	Dissolved	TN	0.75
9/23/09	10	Dissolved	TN	0.75
9/23/09	13	Dissolved	TN	1.14
9/23/09	14	Dissolved	TN	1.30
9/23/09	15	Dissolved	TN	0.82
9/23/09	16	Dissolved	TN	1.29
9/25/09	3	Dissolved	TN	0.56
9/25/09	4	Dissolved	TN	0.58
9/25/09	5	Dissolved	TN	0.55
9/25/09	7	Dissolved	TN	0.86
9/25/09	8	Dissolved	TN	0.66
9/25/09	9	Dissolved	TN	0.60
9/25/09	10	Dissolved	TN	0.70
9/25/09	13	Dissolved	TN	0.99
9/25/09	14	Dissolved	TN	0.90
9/25/09	15	Dissolved	TN	0.82
9/25/09	16	Dissolved	TN	1.28
6/10/09	3	Total	TN	0.23
6/10/09	4	Total	TN	0.18
6/10/09	5	Total	TN	0.22
6/10/09	7	Total	TN	0.24
6/10/09	8	Total	TN	0.18
6/10/09	9	Total	TN	0.22
6/10/09	10	Total	TN	0.20
6/10/09	13	Total	TN	0.39
6/10/09	14	Total	TN	0.42
6/10/09	15	Total	TN	0.16
